Institution,Institution Type,County,Fiscal Year,Date,Corrections Population,Address + Lat/Long
In Federal Prisons,Federal Prisons,N/A,FY 2018-2019,07/31/2018,8,"N/A
N/A, N/A N/A"
Smithfield (SMI),State Correctional Institution,Huntingdon,FY 2018-2019,09/30/2018,1430,"1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
Community Contract Facility - Eastern,Community Contract Facility,N/A,FY 2015-2016,12/31/2015,301,"N/A
N/A, N/A N/A"
Community Corrections Center - Western,Community Corrections Center,N/A,FY 2017-2018,07/31/2017,108,"N/A
N/A, N/A N/A"
Camp Hill (CAM),State Correctional Institution,Cumberland,FY 2016-2017,06/30/2017,3398,"P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
Benner Township (BEN),State Correctional Institution,Centre,FY 2016-2017,07/31/2016,2079,"Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
Rockview (ROC),State Correctional Institution,Centre,FY 2016-2017,04/30/2017,2392,"1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
Mercer (MER),State Correctional Institution,Mercer,FY 2018-2019,01/31/2019,1430,"801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
Community Contract Facility - Eastern,Community Contract Facility,N/A,FY 2015-2016,06/30/2016,267,"N/A
N/A, N/A N/A"
Pine Grove (PNG),State Correctional Institution,Indiana,FY 2016-2017,02/28/2017,971,"189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
Camp Hill (CAM),State Correctional Institution,Cumberland,FY 2016-2017,12/31/2016,2519,"P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
Community Contract Facility - Central,Community Contract Facility,N/A,FY 2016-2017,03/31/2017,112,"N/A
N/A, N/A N/A"
Quehanna Boot Camp (QUE),State Correctional Institution,Clearfield,FY 2015-2016,04/30/2016,459,"4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
Mercer (MER),State Correctional Institution,Mercer,FY 2018-2019,11/30/2018,1468,"801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
Community Corrections Center - Central,Community Corrections Center,N/A,FY 2017-2018,08/31/2017,143,"N/A
N/A, N/A N/A"
Community Corrections Center - Central,Community Corrections Center,N/A,FY 2016-2017,10/31/2016,75,"N/A
N/A, N/A N/A"
Forest (FRS),State Correctional Institution,Forest,FY 2017-2018,08/31/2017,2345,"286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
Camp Hill (CAM),State Correctional Institution,Cumberland,FY 2015-2016,03/31/2016,3482,"P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
Frackville (FRA),State Correctional Institution,Schuylkill,FY 2017-2018,01/31/2018,1259,"1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
Albion (ALB),State Correctional Institution,Erie,FY 2015-2016,11/30/2015,2216,"10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
Smithfield (SMI),State Correctional Institution,Huntingdon,FY 2017-2018,06/30/2018,1430,"1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
Forest (FRS),State Correctional Institution,Forest,FY 2016-2017,05/31/2017,2361,"286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
In Federal Prisons,Federal Prisons,N/A,FY 2015-2016,09/30/2015,6,"N/A
N/A, N/A N/A"
Community Corrections Center - Central,Community Corrections Center,N/A,FY 2016-2017,02/28/2017,77,"N/A
N/A, N/A N/A"
Quehanna Boot Camp (QUE),State Correctional Institution,Clearfield,FY 2015-2016,07/31/2015,479,"4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
Community Contract Facility - Western,Community Contract Facility,N/A,FY 2017-2018,07/31/2017,213,"N/A
N/A, N/A N/A"
Laurel Highlands (LAU),State Correctional Institution,Somerset,FY 2018-2019,10/31/2018,1598,"5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
Laurel Highlands (LAU),State Correctional Institution,Somerset,FY 2015-2016,03/31/2016,1605,"5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
Cambridge Springs (CBS),State Correctional Institution,Crawford,FY 2015-2016,01/31/2016,1149,"451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
Phoenix (PHX),State Correctional Institution,Montgomery,FY 2018-2019,10/31/2018,2370,"1200 Mokychic Drive
Collegeville, PA 19426
(40.23401289, -75.42497814)"
Community Corrections Center - Central,Community Corrections Center,N/A,FY 2016-2017,09/30/2016,77,"N/A
N/A, N/A N/A"
Somerset (SMR),State Correctional Institution,Somerset,FY 2016-2017,04/30/2017,2296,"1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
Community Contract Facility - Central,Community Contract Facility,N/A,FY 2017-2018,09/30/2017,204,"N/A
N/A, N/A N/A"
In County Jails,County Jails,N/A,FY 2015-2016,06/30/2016,593,"N/A
N/A, N/A N/A"
Huntingdon (HUN),State Correctional Institution,Huntingdon,FY 2017-2018,08/31/2017,2184,"1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
Coal Township (COA),State Correctional Institution,Northumberland,FY 2016-2017,05/31/2017,2322,"1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
Greene (GRN),State Correctional Institution,Greene,FY 2017-2018,10/31/2017,1737,"169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
Pine Grove (PNG),State Correctional Institution,Indiana,FY 2018-2019,10/31/2018,1088,"189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
Houtzdale (HOU),State Correctional Institution,Clearfield,FY 2017-2018,09/30/2017,2512,"209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
Graterford (GRA),State Correctional Institution,Montgomery,FY 2016-2017,04/30/2017,3541,"P.O. Box 246, Route 29
Graterford, PA 19426
(40.233117, -75.431678)"
Fayette (FYT),State Correctional Institution,Fayette,FY 2015-2016,01/31/2016,1998,"50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
Houtzdale (HOU),State Correctional Institution,Clearfield,FY 2018-2019,07/31/2018,2589,"209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
Albion (ALB),State Correctional Institution,Erie,FY 2017-2018,04/30/2018,2297,"10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
Benner Township (BEN),State Correctional Institution,Centre,FY 2018-2019,09/30/2018,2074,"Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
Graterford (GRA),State Correctional Institution,Montgomery,FY 2017-2018,12/31/2017,2648,"P.O. Box 246, Route 29
Graterford, PA 19426
(40.233117, -75.431678)"
Laurel Highlands (LAU),State Correctional Institution,Somerset,FY 2018-2019,08/31/2018,1589,"5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
Chester (CHS),State Correctional Institution,Delaware,FY 2016-2017,12/31/2016,1283,"500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
Community Contract Facility - Western,Community Contract Facility,N/A,FY 2016-2017,06/30/2017,217,"N/A
N/A, N/A N/A"
Community Corrections Center - Eastern,Community Corrections Center,N/A,FY 2016-2017,09/30/2016,105,"N/A
N/A, N/A N/A"
In County Jails,County Jails,N/A,FY 2015-2016,11/30/2015,987,"N/A
N/A, N/A N/A"
Community Corrections Center - Central,Community Corrections Center,N/A,FY 2016-2017,05/31/2017,67,"N/A
N/A, N/A N/A"
Laurel Highlands (LAU),State Correctional Institution,Somerset,FY 2017-2018,04/30/2018,1601,"5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
Mercer (MER),State Correctional Institution,Mercer,FY 2017-2018,12/31/2017,1470,"801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
Community Corrections Center - Eastern,Community Corrections Center,N/A,FY 2016-2017,08/31/2016,107,"N/A
N/A, N/A N/A"
Waymart (WAM),State Correctional Institution,Wayne,FY 2015-2016,10/31/2015,1370,"P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
Cambridge Springs (CBS),State Correctional Institution,Crawford,FY 2015-2016,08/31/2015,1081,"451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
Community Contract Facility - Central,Community Contract Facility,N/A,FY 2017-2018,04/30/2018,134,"N/A
N/A, N/A N/A"
Mercer (MER),State Correctional Institution,Mercer,FY 2017-2018,04/30/2018,1476,"801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
Forest (FRS),State Correctional Institution,Forest,FY 2017-2018,03/31/2018,2382,"286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
Camp Hill (CAM),State Correctional Institution,Cumberland,FY 2016-2017,10/31/2016,2814,"P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
Smithfield (SMI),State Correctional Institution,Huntingdon,FY 2017-2018,05/31/2018,1421,"1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
Laurel Highlands (LAU),State Correctional Institution,Somerset,FY 2017-2018,03/31/2018,1562,"5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
Camp Hill (CAM),State Correctional Institution,Cumberland,FY 2018-2019,01/31/2019,3287,"P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
Somerset (SMR),State Correctional Institution,Somerset,FY 2015-2016,11/30/2015,2387,"1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
Camp Hill (CAM),State Correctional Institution,Cumberland,FY 2015-2016,04/30/2016,3363,"P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
Dallas (DAL),State Correctional Institution,Luzerne,FY 2018-2019,09/30/2018,2175,"1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
Dallas (DAL),State Correctional Institution,Luzerne,FY 2017-2018,06/30/2018,2148,"1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
Quehanna Boot Camp (QUE),State Correctional Institution,Clearfield,FY 2017-2018,04/30/2018,429,"4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
Mahanoy (MAH),State Correctional Institution,Schuylkill,FY 2015-2016,09/30/2015,2478,"301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
Greene (GRN),State Correctional Institution,Greene,FY 2016-2017,03/31/2017,1609,"169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
Houtzdale (HOU),State Correctional Institution,Clearfield,FY 2016-2017,12/31/2016,2482,"209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
Retreat (RET),State Correctional Institution,Luzerne,FY 2016-2017,08/31/2016,1132,"660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
Camp Hill (CAM),State Correctional Institution,Cumberland,FY 2016-2017,09/30/2016,2899,"P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
Community Corrections Center - Eastern,Community Corrections Center,N/A,FY 2015-2016,07/31/2015,127,"N/A
N/A, N/A N/A"
Huntingdon (HUN),State Correctional Institution,Huntingdon,FY 2017-2018,06/30/2018,2194,"1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
Community Corrections Center - Central,Community Corrections Center,N/A,FY 2015-2016,03/31/2016,77,"N/A
N/A, N/A N/A"
Quehanna Boot Camp (QUE),State Correctional Institution,Clearfield,FY 2017-2018,03/31/2018,421,"4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
In Federal Prisons,Federal Prisons,N/A,FY 2014-2015,06/30/2015,6,"N/A
N/A, N/A N/A"
Muncy (MUN),State Correctional Institution,Lycoming,FY 2015-2016,06/30/2016,1431,"Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
Community Contract Facility - Western,Community Contract Facility,N/A,FY 2015-2016,04/30/2016,260,"N/A
N/A, N/A N/A"
Laurel Highlands (LAU),State Correctional Institution,Somerset,FY 2015-2016,11/30/2015,1383,"5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
Community Contract Facility - Western,Community Contract Facility,N/A,FY 2017-2018,12/31/2017,146,"N/A
N/A, N/A N/A"
Community Corrections Center - Central,Community Corrections Center,N/A,FY 2017-2018,09/30/2017,144,"N/A
N/A, N/A N/A"
Frackville (FRA),State Correctional Institution,Schuylkill,FY 2016-2017,06/30/2017,1190,"1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
Dallas (DAL),State Correctional Institution,Luzerne,FY 2015-2016,05/31/2016,2130,"1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
Fayette (FYT),State Correctional Institution,Fayette,FY 2015-2016,04/30/2016,2097,"50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
Rockview (ROC),State Correctional Institution,Centre,FY 2015-2016,01/31/2016,2395,"1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
Community Corrections Center - Eastern,Community Corrections Center,N/A,FY 2017-2018,09/30/2017,68,"N/A
N/A, N/A N/A"
Camp Hill (CAM),State Correctional Institution,Cumberland,FY 2018-2019,10/31/2018,3264,"P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
In Federal Prisons,Federal Prisons,N/A,FY 2017-2018,09/30/2017,8,"N/A
N/A, N/A N/A"
Waymart (WAM),State Correctional Institution,Wayne,FY 2015-2016,02/29/2016,1379,"P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
Huntingdon (HUN),State Correctional Institution,Huntingdon,FY 2016-2017,02/28/2017,2142,"1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
Somerset (SMR),State Correctional Institution,Somerset,FY 2016-2017,11/30/2016,2409,"1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
Cambridge Springs (CBS),State Correctional Institution,Crawford,FY 2015-2016,03/31/2016,1195,"451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
Retreat (RET),State Correctional Institution,Luzerne,FY 2017-2018,02/28/2018,1103,"660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
Rockview (ROC),State Correctional Institution,Centre,FY 2018-2019,12/31/2018,2363,"1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
Laurel Highlands (LAU),State Correctional Institution,Somerset,FY 2015-2016,04/30/2016,1596,"5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
In County Jails,County Jails,N/A,FY 2017-2018,09/30/2017,343,"N/A
N/A, N/A N/A"
Community Corrections Center - Central,Community Corrections Center,N/A,FY 2016-2017,03/31/2017,74,"N/A
N/A, N/A N/A"
Smithfield (SMI),State Correctional Institution,Huntingdon,FY 2017-2018,10/31/2017,1355,"1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
Pine Grove (PNG),State Correctional Institution,Indiana,FY 2015-2016,12/31/2015,943,"189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
Pittsburgh (PIT),State Correctional Institution,Allegheny,FY 2016-2017,02/28/2017,1260,"3001 Beaver Avenue
Pittsburgh, PA 15233
(40.470253, -80.040614)"
Mahanoy (MAH),State Correctional Institution,Schuylkill,FY 2015-2016,06/30/2016,2429,"301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
Forest (FRS),State Correctional Institution,Forest,FY 2016-2017,06/30/2017,2376,"286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
Camp Hill (CAM),State Correctional Institution,Cumberland,FY 2015-2016,10/31/2015,3605,"P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
Community Corrections Center - Central,Community Corrections Center,N/A,FY 2015-2016,02/29/2016,69,"N/A
N/A, N/A N/A"
Community Corrections Center - Western,Community Corrections Center,N/A,FY 2016-2017,04/30/2017,118,"N/A
N/A, N/A N/A"
Coal Township (COA),State Correctional Institution,Northumberland,FY 2016-2017,12/31/2016,2283,"1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
Community Contract Facility - Central,Community Contract Facility,N/A,FY 2015-2016,05/31/2016,94,"N/A
N/A, N/A N/A"
In Federal Prisons,Federal Prisons,N/A,FY 2016-2017,03/31/2017,8,"N/A
N/A, N/A N/A"
Mahanoy (MAH),State Correctional Institution,Schuylkill,FY 2016-2017,11/30/2016,2424,"301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
Laurel Highlands (LAU),State Correctional Institution,Somerset,FY 2018-2019,01/31/2019,1585,"5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
Community Contract Facility - Eastern,Community Contract Facility,N/A,FY 2015-2016,03/31/2016,256,"N/A
N/A, N/A N/A"
Mahanoy (MAH),State Correctional Institution,Schuylkill,FY 2017-2018,11/30/2017,2363,"301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
Community Corrections Center - Western,Community Corrections Center,N/A,FY 2018-2019,07/31/2018,124,"N/A
N/A, N/A N/A"
Muncy (MUN),State Correctional Institution,Lycoming,FY 2015-2016,01/31/2016,1427,"Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
In Federal Prisons,Federal Prisons,N/A,FY 2015-2016,12/31/2015,7,"N/A
N/A, N/A N/A"
Quehanna Boot Camp (QUE),State Correctional Institution,Clearfield,FY 2015-2016,10/31/2015,509,"4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
Waymart (WAM),State Correctional Institution,Wayne,FY 2017-2018,02/28/2018,1525,"P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
Albion (ALB),State Correctional Institution,Erie,FY 2017-2018,06/30/2018,2291,"10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
Community Corrections Center - Western,Community Corrections Center,N/A,FY 2016-2017,01/31/2017,153,"N/A
N/A, N/A N/A"
Camp Hill (CAM),State Correctional Institution,Cumberland,FY 2017-2018,08/31/2017,3235,"P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
Chester (CHS),State Correctional Institution,Delaware,FY 2017-2018,04/30/2018,1305,"500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
Forest (FRS),State Correctional Institution,Forest,FY 2015-2016,05/31/2016,2301,"286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
Community Corrections Center - Central,Community Corrections Center,N/A,FY 2018-2019,10/31/2018,223,"N/A
N/A, N/A N/A"
Graterford (GRA),State Correctional Institution,Montgomery,FY 2016-2017,05/31/2017,3708,"P.O. Box 246, Route 29
Graterford, PA 19426
(40.233117, -75.431678)"
Smithfield (SMI),State Correctional Institution,Huntingdon,FY 2016-2017,05/31/2017,1349,"1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
Somerset (SMR),State Correctional Institution,Somerset,FY 2017-2018,09/30/2017,2392,"1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
Pine Grove (PNG),State Correctional Institution,Indiana,FY 2015-2016,03/31/2016,860,"189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
Greene (GRN),State Correctional Institution,Greene,FY 2017-2018,11/30/2017,1695,"169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
In Federal Prisons,Federal Prisons,N/A,FY 2015-2016,08/31/2015,6,"N/A
N/A, N/A N/A"
Cambridge Springs (CBS),State Correctional Institution,Crawford,FY 2018-2019,11/30/2018,1235,"451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
Graterford (GRA),State Correctional Institution,Montgomery,FY 2016-2017,07/31/2016,3301,"P.O. Box 246, Route 29
Graterford, PA 19426
(40.233117, -75.431678)"
Community Corrections Center - Eastern,Community Corrections Center,N/A,FY 2016-2017,01/31/2017,97,"N/A
N/A, N/A N/A"
Quehanna Boot Camp (QUE),State Correctional Institution,Clearfield,FY 2015-2016,06/30/2016,438,"4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
Smithfield (SMI),State Correctional Institution,Huntingdon,FY 2018-2019,11/30/2018,1413,"1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
Mercer (MER),State Correctional Institution,Mercer,FY 2015-2016,05/31/2016,1436,"801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
Graterford (GRA),State Correctional Institution,Montgomery,FY 2015-2016,09/30/2015,3304,"P.O. Box 246, Route 29
Graterford, PA 19426
(40.233117, -75.431678)"
